uid,taxid,project_id,project_acc,project_type,project_data_type,sort_by_projecttype,sort_by_datatype,sort_by_organism,project_subtype,project_target_scope,project_target_material,project_target_capture,project_methodtype,project_method,project_objectives_list,registration_date,project_name,project_title,project_description,keyword,relevance_agricultural,relevance_medical,relevance_industrial,relevance_environmental,relevance_evolution,relevance_model,relevance_other,organism_name,organism_strain,organism_label,sequencing_status,submitter_organization,submitter_organization_list,supergroup
579449,2651591,579449,PRJNA579449,Primary submission,Raw sequence reads,21591,53916,64092,NA,Environment,Genome,Whole,Sequencing,NA,"Raw Sequence Reads,",2019/10/25 00:00,Drinking water metagenome,UV irradiated water Raw sequence reads,"Water irradiated with UV doses of 250, 400 and 600 J/m^2 at a full scale drinking water treatment plant. Samples were also stored for 6 days at 7 °C to mimic transport in the distribution system.",NA,NA,NA,NA,yes,NA,NA,NA,drinking water metagenome,NA,NA,SRA/Trace,Lund University,Lund University,Other
566041,718308,566041,PRJNA566041,Primary submission,Raw sequence reads,31356,54977,27134,NA,Environment,Genome,Whole,Sequencing,NA,"Raw Sequence Reads,",2019/09/17 00:00,biofilm metagenome,biofilm metagenome Raw sequence reads,To reveal the bacterial community within the inner wall biofilms of the pipe from a drinking water distribution system,NA,NA,NA,NA,yes,NA,NA,NA,biofilm metagenome,NA,NA,SRA/Trace,Peking University,Peking University,Other
565436,NA,565436,PRJNA565436,Primary submission,Raw sequence reads,31603,55082,345865,NA,Multispecies,Genome,Whole,Sequencing,NA,"Raw Sequence Reads,",2019/09/13 00:00,NA,Addis Ababa drinking water samples,"The water samples were collected from the surface water and treated water from two drinking water treatment plants, throughout the distribution system at Addis Ababa, Ethiopia.",NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,SRA/Trace,University of Michigan,University of Michigan,NA
560818,NA,560818,PRJEB29497,Primary submission,Other,33766,88496,346558,NA,Monoisolate,Genome,Whole,Sequencing,NA,"Other, Unspecified Objective",2019/08/19 00:00,The microbiota in remote water supplies of Northern Australia,Opportunistic Pathogens and Large Microbial Diversity detected in Source-to-Distribution Drinking Water of three Remote Communities in Northern Australia,"In the wet-dry tropics of Northern Australia, drinking water in remote communities is mostly sourced from bores accessing groundwater. Many aquifers contain naturally high levels of iron and some are shallow with surface water intrusion in the wet season. Therefore, environmental bacteria such as iron-cycling bacteria promoting biofilm formation in pipes or opportunistic pathogens can occur in these waters. An opportunistic pathogen endemic to northern Australia and Southeast Asia and emerging worldwide is Burkholderia pseudomallei. It causes the frequently fatal disease melioidosis in humans and animals. As we know very little about the microbial composition of drinking water in remote communities, this study aimed to provide a first snapshot of the microbiota and occurrence of opportunistic pathogens in bulk water and biofilms from the source and through the distribution system of three remote water supplies with varying iron levels. Using 16s-rRNA gene sequencing, we found that the geochemistry of the groundwater had a substantial impact on the untreated microbiota. Different iron-cycling bacteria reflected differences in redox status and nutrients. We cultured and sequenced B. pseudomallei from bores with elevated iron and from a multi-species biofilm which also contained iron-oxidizing Gallionella, nitrifying Nitrospira and amoebae. Gallionella are increasingly used in iron-removal filters in water supplies and more research is needed to examine these interactions. Similar to other opportunistic pathogens, B. pseudomallei occurred in water with low organic carbon levels and with low heterotrophic microbial growth. No B. pseudomallei were detected in treated water; however, abundant DNA of another opportunistic pathogen group, non-tuberculous mycobacteria was recovered from treated parts of one supply. Results from this study will inform future studies to ultimately improve management guidelines for water supplies in the wet-dry tropics.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SRA/Trace,CHARLES DARWIN UNIVERISTY,CHARLES DARWIN UNIVERISTY,NA
529845,NA,529845,PRJEB31264,Primary submission,Other,53563,90572,351971,NA,Monoisolate,Genome,Whole,Sequencing,NA,"Other, Unspecified Objective",2019/03/29 00:00,NA,18S rRNA gene sequencing survey of eukaryotic diversity in biofilms from a drinking water distribution network,"This study contains 18S rRNA gene V4 region  Illumina MiSeq reads from a metataxonomic sequencing project which aimed to assess the diversity of eukaryotic organisms in biofilms from pipes of a drinking water distribution system in Riga, Latvia.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SRA/Trace,"Institute of Food Safety, Animal Health and Environment ""BIOR""","Institute of Food Safety, Animal Health and Environment ""BIOR""",NA
522050,449393,522050,PRJNA522050,Primary submission,Metagenome,58587,22454,82427,NA,Environment,Genome,Whole,Sequencing,NA,"Sequence,",2019/02/13 00:00,Microbial community of drinking water distribution system,Microbial community of drinking water distribution system Metagenome,Ecology studies and determine the composition of microbial communities of drinking water distribution system using 16S rRNA gene next-generation sequencing (NGS) techniques.,NA,NA,NA,NA,yes,NA,NA,NA,freshwater metagenome,NA,NA,SRA/Trace,The John Paul II Catholic University of Lublin,The John Paul II Catholic University of Lublin,Other
509718,449393,509718,PRJNA509718,Primary submission,Genome sequencing and assembly,67429,51546,82435,NA,Multiisolate,Genome,Whole,Sequencing,NA,"Raw Sequence Reads,",2018/12/13 00:00,Drinking water distribution system microbiome,DWDSOME (Microbiome Dynamics in Drinking Water Distribution System),Drinking water distribution system microbiome characterization from ground and surface water sources from Finland.,NA,NA,NA,NA,yes,NA,NA,NA,freshwater metagenome,NA,NA,SRA/Trace,University of Eastern Finland,University of Eastern Finland,Other
494637,718308,494637,PRJNA494637,Primary submission,Metagenome,80039,33452,27157,NA,Environment,Genome,Whole,Sequencing,NA,"Sequence,",2018/10/04 00:00,biofilm metagenome,The microbial community in a full-scale drinking water distribution system and the effect of ultrafiltration installation,The microbial communities with in a full-scale drinking water distribution system is investigated by collected different samples at different location at the drinking water system. The effect by the installation of ultrafiltration at the treatment plant were followed.,NA,NA,NA,yes,NA,NA,NA,NA,biofilm metagenome,NA,NA,SRA/Trace,Lund University,Lund University,Other
487286,NA,487286,PRJNA487286,Primary submission,Genome sequencing and assembly,85557,83740,361686,NA,Multispecies,Genome,Whole,Sequencing,NA,"c(""Sequence"", ""Assembly""), c("""", """")",2018/08/22 00:00,NA,Water Quality and Microbial Dynamics in Premise Plumbing,Premise plumbing (PP) includes that portion of the drinking water distribution system (DWDS) connected via the service line to houses and other buildings. Public health data shows that a significant fraction of the nation’s waterborne disease outbreaks are attributable to PP systems. It is important to understand the characteristics of these systems which amplify the potential public health risk relative to the DWDS.,NA,NA,NA,NA,NA,NA,NA,Public Health,NA,NA,NA,Scaffolds,US EPA,US EPA,NA
480305,449393,480305,PRJNA480305,Primary submission,Targeted Locus (Loci),90838,83863,82454,NA,Environment,Genome,Targeted Locus/Loci,Sequencing,NA,"Other,",2018/07/09 00:00,Freshwater metagenome,Ghana water distribution system 16s amplicon sequencing,"The design and performance characteristics of municipal drinking water systems can profoundly influence public health. To assess the operational attributes of an Accra, Ghana drinking water distribution system we employed high-throughput 454 pyrosequencing to characterize its bacterial community composition. We sampled the waterworks and four household sources (one household tap and three polytank storage units) within one of Accra’s distribution networks over a four-month period. Samples provided between 9,059 and 20,076 reads (average = 13,056) that represented a broad range of bacterial diversity including rare genera. Minimal Entropy Decomposition (MED) analysis showed that the sequences described four major assemblages. Assemblages #1 and #2 dominated the waterworks and household tap samples while polytank storage unit samples, with one exception, contained assemblages #3 or #4. The considerable bacterial taxonomic difference between different sources, suggests that contamination and/or selective growth shapes bacterial community structures after treatment at the waterworks. Of particular interest are the major differences between the polytank samples following storage and the tap / waterworks samples suggesting that water storage (stagnation) can select for unique microbial populations.",NA,NA,NA,NA,yes,NA,NA,NA,freshwater metagenome,NA,NA,SRA/Trace,Marine Biological Laboratory,Marine Biological Laboratory,Other
479761,NA,479761,PRJNA479761,Primary submission,Raw sequence reads,91261,107491,363649,NA,Multispecies,Genome,Whole,Sequencing,NA,"Raw Sequence Reads,",2018/07/05 00:00,NA,Drinking water mycobacteria 65-kD heat-shock protein (hsp65) gene raw sequence reads,A 441-bp fragment of the 65-kD heat-shock protein (hsp65) was sequenced to gather taxonomic information about non-tuberculous mycobacteria (NTM) in two drinking water distribution systems: a chloramine-containing system in the United States and a system in Norway with no residual disinfectant in the drinking water supply. NTM are environmentally occurring members of Mycobacterium spp. that may act as opportunistic pathogens in humans. We aimed to characterize the NTM in the drinking water and water-main biofilms from the two systems to determine whether pathogenic species were present.,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,SRA/Trace,University of Minnesota,University of Minnesota,NA
