uid,taxid,project_id,project_acc,project_type,project_data_type,sort_by_projecttype,sort_by_datatype,sort_by_organism,project_subtype,project_target_scope,project_target_material,project_target_capture,project_methodtype,project_method,project_objectives_list,registration_date,project_name,project_title,project_description,keyword,relevance_agricultural,relevance_medical,relevance_industrial,relevance_environmental,relevance_evolution,relevance_model,relevance_other,organism_name,organism_strain,organism_label,sequencing_status,submitter_organization,submitter_organization_list,supergroup
579449,2651591,579449,PRJNA579449,Primary submission,Raw sequence reads,21591,53916,64092,,Environment,Genome,Whole,Sequencing,,"Raw Sequence Reads, ",2019/10/25 00:00,Drinking water metagenome,UV irradiated water Raw sequence reads,"Water irradiated with UV doses of 250, 400 and 600 J/m^2 at a full scale drinking water treatment plant. Samples were also stored for 6 days at 7 °C to mimic transport in the distribution system.",,,,,yes,,,,drinking water metagenome,,,SRA/Trace,Lund University,Lund University,Other
566041,718308,566041,PRJNA566041,Primary submission,Raw sequence reads,31356,54977,27134,,Environment,Genome,Whole,Sequencing,,"Raw Sequence Reads, ",2019/09/17 00:00,biofilm metagenome,biofilm metagenome Raw sequence reads,To reveal the bacterial community within the inner wall biofilms of the pipe from a drinking water distribution system,,,,,yes,,,,biofilm metagenome,,,SRA/Trace,Peking University,Peking University,Other
565436,,565436,PRJNA565436,Primary submission,Raw sequence reads,31603,55082,345865,,Multispecies,Genome,Whole,Sequencing,,"Raw Sequence Reads, ",2019/09/13 00:00,,Addis Ababa drinking water samples,"The water samples were collected from the surface water and treated water from two drinking water treatment plants, throughout the distribution system at Addis Ababa, Ethiopia.",,,,,yes,,,,,,,SRA/Trace,University of Michigan,University of Michigan,
560818,,560818,PRJEB29497,Primary submission,Other,33766,88496,346558,,Monoisolate,Genome,Whole,Sequencing,,"Other, Unspecified Objective",2019/08/19 00:00,The microbiota in remote water supplies of Northern Australia,Opportunistic Pathogens and Large Microbial Diversity detected in Source-to-Distribution Drinking Water of three Remote Communities in Northern Australia,"In the wet-dry tropics of Northern Australia, drinking water in remote communities is mostly sourced from bores accessing groundwater. Many aquifers contain naturally high levels of iron and some are shallow with surface water intrusion in the wet season. Therefore, environmental bacteria such as iron-cycling bacteria promoting biofilm formation in pipes or opportunistic pathogens can occur in these waters. An opportunistic pathogen endemic to northern Australia and Southeast Asia and emerging worldwide is Burkholderia pseudomallei. It causes the frequently fatal disease melioidosis in humans and animals. As we know very little about the microbial composition of drinking water in remote communities, this study aimed to provide a first snapshot of the microbiota and occurrence of opportunistic pathogens in bulk water and biofilms from the source and through the distribution system of three remote water supplies with varying iron levels. Using 16s-rRNA gene sequencing, we found that the geochemistry of the groundwater had a substantial impact on the untreated microbiota. Different iron-cycling bacteria reflected differences in redox status and nutrients. We cultured and sequenced B. pseudomallei from bores with elevated iron and from a multi-species biofilm which also contained iron-oxidizing Gallionella, nitrifying Nitrospira and amoebae. Gallionella are increasingly used in iron-removal filters in water supplies and more research is needed to examine these interactions. Similar to other opportunistic pathogens, B. pseudomallei occurred in water with low organic carbon levels and with low heterotrophic microbial growth. No B. pseudomallei were detected in treated water; however, abundant DNA of another opportunistic pathogen group, non-tuberculous mycobacteria was recovered from treated parts of one supply. Results from this study will inform future studies to ultimately improve management guidelines for water supplies in the wet-dry tropics.",,,,,,,,,,,,SRA/Trace,CHARLES DARWIN UNIVERISTY,CHARLES DARWIN UNIVERISTY,
551816,,551816,PRJEB27988,Primary submission,Other,38580,89238,348448,,Monoisolate,Genome,Whole,Sequencing,,"Other, Unspecified Objective",2019/06/30 00:00,DWDS chlorine microbiota,Bacterial biodiversity in drinking water distribution system with reduced chlorine,"To evaluate the feasibility of chlorine reduction in local drinking water distribution systems (DWDS), experimental areas with low chlorine concentration were determined in two cities. Online monitoring of bacterial cells and particles was performed. This study contains the reads obtained by sequencing amplicons of the V3-V4 region of the 16S rRNA with an Illumina MiSeq used to explore the microbial communities present in eight biofilms.",,,,,,,,,,,,Unknown,CHUV-UNIL,CHUV-UNIL,
529845,,529845,PRJEB31264,Primary submission,Other,53563,90572,351971,,Monoisolate,Genome,Whole,Sequencing,,"Other, Unspecified Objective",2019/03/29 00:00,,18S rRNA gene sequencing survey of eukaryotic diversity in biofilms from a drinking water distribution network,"This study contains 18S rRNA gene V4 region  Illumina MiSeq reads from a metataxonomic sequencing project which aimed to assess the diversity of eukaryotic organisms in biofilms from pipes of a drinking water distribution system in Riga, Latvia.",,,,,,,,,,,,SRA/Trace,"Institute of Food Safety, Animal Health and Environment ""BIOR""","Institute of Food Safety, Animal Health and Environment ""BIOR""",
522050,449393,522050,PRJNA522050,Primary submission,Metagenome,58587,22454,82427,,Environment,Genome,Whole,Sequencing,,"Sequence, ",2019/02/13 00:00,Microbial community of drinking water distribution system,Microbial community of drinking water distribution system Metagenome,Ecology studies and determine the composition of microbial communities of drinking water distribution system using 16S rRNA gene next-generation sequencing (NGS) techniques.,,,,,yes,,,,freshwater metagenome,,,SRA/Trace,The John Paul II Catholic University of Lublin,The John Paul II Catholic University of Lublin,Other
509718,449393,509718,PRJNA509718,Primary submission,Genome sequencing and assembly,67429,51546,82435,,Multiisolate,Genome,Whole,Sequencing,,"Raw Sequence Reads, ",2018/12/13 00:00,Drinking water distribution system microbiome,DWDSOME (Microbiome Dynamics in Drinking Water Distribution System),Drinking water distribution system microbiome characterization from ground and surface water sources from Finland.,,,,,yes,,,,freshwater metagenome,,,SRA/Trace,University of Eastern Finland,University of Eastern Finland,Other
494637,718308,494637,PRJNA494637,Primary submission,Metagenome,80039,33452,27157,,Environment,Genome,Whole,Sequencing,,"Sequence, ",2018/10/04 00:00,biofilm metagenome,The microbial community in a full-scale drinking water distribution system and the effect of ultrafiltration installation,The microbial communities with in a full-scale drinking water distribution system is investigated by collected different samples at different location at the drinking water system. The effect by the installation of ultrafiltration at the treatment plant were followed.,,,,yes,,,,,biofilm metagenome,,,SRA/Trace,Lund University,Lund University,Other
487286,,487286,PRJNA487286,Primary submission,Genome sequencing and assembly,85557,83740,361686,,Multispecies,Genome,Whole,Sequencing,,"c(""Sequence"", ""Assembly""), c("""", """")",2018/08/22 00:00,,Water Quality and Microbial Dynamics in Premise Plumbing,Premise plumbing (PP) includes that portion of the drinking water distribution system (DWDS) connected via the service line to houses and other buildings. Public health data shows that a significant fraction of the nation’s waterborne disease outbreaks are attributable to PP systems. It is important to understand the characteristics of these systems which amplify the potential public health risk relative to the DWDS.,,,,,,,,Public Health,,,,Scaffolds,US EPA,US EPA,
